County,Data Year,Population,Z Score
Stanislaus          ,2014,528123,-0.1566787662397153
State Total,2014,38513119,7.199314202006459
Sutter              ,2014,95103,-0.24053535201136994
Tehama              ,2014,63067,-0.24673929081738522
Trinity             ,2014,14692,-0.2561073623538126
Tulare              ,2014,455774,-0.17068952815369953
Tuolumne            ,2014,55315,-0.2482405061259203
Ventura             ,2014,846456,-0.09503191732177126
Yolo                ,2014,206708,-0.2189224605628329
Yuba                ,2014,74755,-0.244475848541049
Alameda             ,2015,1622205,0.05519593025057023
Amador              ,2015,37453,-0.25169957576485913
Butte               ,2015,227400,-0.21491534663556144
Calaveras           ,2015,45395,-0.2501615659634678
Colusa              ,2015,21338,-0.254820329724746
Contra Costa        ,2015,1120530,-0.041956055031852846
Del Norte,2015,26973,-0.2537290825287198
El Dorado           ,2015,180914,-0.2239176034509075
Fresno              ,2015,968417,-0.0714135323573429
Glenn               ,2015,27966,-0.25353678288973946
Humboldt            ,2015,136542,-0.23251047311942133
Imperial            ,2015,179769,-0.2241393386841728
Inyo                ,2015,18765,-0.2553186046201099
Kern                ,2015,873453,-0.08980380719734893
Kings               ,2015,148817,-0.23013335522568185
Lake                ,2015,66975,-0.24598248619589977
Lassen              ,2015,32758,-0.2526087870488597
Los Angeles ,2015,10072887,1.6917146590898338
Madera              ,2015,152930,-0.22933685128295678
Marin               ,2015,263888,-0.20784925476535654
Mariposa            ,2015,17724,-0.2555201997099171
Mendocino           ,2015,90018,-0.2415200888333386
Merced              ,2015,266740,-0.20729695006206164
Modoc               ,2015,9212,-0.25716859298987715
Mono                ,2015,13674,-0.2563045033734319
Monterey            ,2015,429887,-0.17570268097775113
Napa                ,2015,140654,-0.23171416283192178
Nevada              ,2015,100341,-0.23952098593989074
Orange              ,2015,3148491,0.35076918984845407
Placer              ,2015,373578,-0.1866072130737654
Plumas              ,2015,19035,-0.2552663177092089
Riverside           ,2015,2302000,0.18684178430960205
Sacramento,2015,1495130,0.030587192462631998
San Benito  ,2015,58839,-0.2475580651110496
San Bernardino    ,2015,2114182,0.15046984715551995
San Diego           ,2015,3248180,0.37007448562922746
San Francisco,2015,855489,-0.0932826296692948
San Joaquin,2015,724185,-0.11871033540612298
San Luis Obispo     ,2015,279620,-0.20480267075685885
San Mateo           ,2015,758673,-0.11203155398703651
Santa Barbara       ,2015,440902,-0.17356956866821627
Santa Clara         ,2015,1907380,0.11042155919942158
Santa Cruz          ,2015,274207,-0.20585092649281092
Shasta              ,2015,181253,-0.2238519543294429
Sierra              ,2015,3214,-0.25833013703278135
Siskiyou            ,2015,44550,-0.2503252046290653
Solano              ,2015,433545,-0.17499429016265547
Sonoma              ,2015,499963,-0.16213209739146303
Stanislaus          ,2015,532534,-0.15582455303977358
State Total,2015,38810306,7.256866017524728
Sutter              ,2015,95421,-0.24047376964964212
Tehama              ,2015,63405,-0.2466738353511462
Trinity             ,2015,14906,-0.2560659201355429
Tulare              ,2015,458186,-0.17022243174965068
Tuolumne            ,2015,54956,-0.24831002835189606
Ventura             ,2015,849950,-0.09435528596366734
Yolo                ,2015,208343,-0.21860583426904356
Yuba                ,2015,75374,-0.24435597595642786
Alameda             ,2016,1641983,0.059026043301680535
Amador              ,2016,37663,-0.2516589081674917
Butte               ,2016,228198,-0.2147608097655652
Calaveras           ,2016,45402,-0.2501602103768889
Colusa              ,2016,21531,-0.25478295426621306
Contra Costa        ,2016,1136478,-0.038867641494634356
Del Norte,2016,26960,-0.2537316000466521
El Dorado           ,2016,181630,-0.2237789463094071
Fresno              ,2016,975622,-0.0700182464571887
Glenn               ,2016,27714,-0.25358558400658043
Humboldt            ,2016,137015,-0.2324188741977318
Imperial            ,2016,179897,-0.2241145508153012
Inyo                ,2016,18876,-0.25529710889007284
Kern                ,2016,876846,-0.08914673501702648
Kings               ,2016,148487,-0.2301972614501164
Lake                ,2016,66991,-0.24597938771229083
Lassen              ,2016,32293,-0.2526988367287447
Los Angeles ,2016,10087542,1.6945526764204042
Madera              ,2016,152819,-0.22935834701299385
Marin               ,2016,264554,-0.2077202803851341
Mariposa            ,2016,17625,-0.25553937157724743
Mendocino           ,2016,90761,-0.2413762030007481
Merced              ,2016,268527,-0.2069508881739873
Modoc               ,2016,9130,-0.257184472718373
Mono                ,2016,13412,-0.25635524104252844
Monterey            ,2016,434712,-0.17476829451442788
Napa                ,2016,141119,-0.23162411315203676
Nevada              ,2016,100793,-0.23943345377793798
Orange              ,2016,3165028,0.35397166631352694
Placer              ,2016,379143,-0.18552952174352833
Plumas              ,2016,19017,-0.25526980350326894
Riverside           ,2016,2326213,0.19153075828606753
Sacramento,2016,1511942,0.03384292411473365
San Benito  ,2016,59563,-0.24741785872774472
San Bernardino    ,2016,2124990,0.15256287283336403
San Diego           ,2016,3263004,0.37294523069291735
San Francisco,2016,861977,-0.09202619456586657
San Joaquin,2016,735670,-0.11648620514057531
San Luis Obispo     ,2016,281046,-0.20452651840521138
San Mateo           ,2016,763530,-0.11109097055649536
Santa Barbara       ,2016,444102,-0.17294987194642678
Santa Clara         ,2016,1923243,0.11349351204246752
Santa Cruz          ,2016,275625,-0.20557632338296794
Shasta              ,2016,180374,-0.22402217727270946
Sierra              ,2016,3222,-0.2583285877909769
Siskiyou            ,2016,44497,-0.25033546835602
Solano              ,2016,438420,-0.17405022093805428
Sonoma              ,2016,501553,-0.16182418558282385
Stanislaus          ,2016,537785,-0.15480766945036212
State Total,2016,39036749,7.300717887766035
Sutter              ,2016,96065,-0.24034905568438197
Tehama              ,2016,64017,-0.24655531835310396
Trinity             ,2016,15136,-0.2560213794336643
Tulare              ,2016,461170,-0.16964456455658194
Tuolumne            ,2016,55303,-0.248242829988627
Ventura             ,2016,851155,-0.09412193141686848
Yolo                ,2016,211938,-0.21790964373315816
Yuba                ,2016,76245,-0.24418730225496577
Alameda             ,2017,1656919,0.06191847775063309
Amador              ,2017,38807,-0.2514373665894519
Butte               ,2017,230412,-0.2143320570961771
Calaveras           ,2017,45355,-0.25016931217249017
Colusa              ,2017,21773,-0.25473608970162775
Contra Costa        ,2017,1147957,-0.03664467316044004
Del Norte,2017,27158,-0.25369325631199136
El Dorado           ,2017,182695,-0.2235727034941865
Fresno              ,2017,983436,-0.06850502452466893
Glenn               ,2017,27786,-0.2535716408303402
Humboldt            ,2017,138027,-0.23222289510946587
Imperial            ,2017,180854,-0.22392922276444105
Inyo                ,2017,18880,-0.2552963342691706
Kern                ,2017,883531,-0.08785214983416308
Kings               ,2017,148079,-0.23027627278214458
Lake                ,2017,67318,-0.24591606245353295
Lassen              ,2017,32459,-0.25266668996130187
Los Angeles ,2017,10107312,1.69838124022971
Madera              ,2017,154151,-0.22910039825254896
Marin               ,2017,264366,-0.20775668756753923
Mariposa            ,2017,17501,-0.25556338482521673
Mendocino           ,2017,91368,-0.24125865427883364
Merced              ,2017,271094,-0.20645377520997676
Modoc               ,2017,8979,-0.2572137146574324
Mono                ,2017,13425,-0.25635272352459615
Monterey            ,2017,437800,-0.17417028717790098
Napa                ,2017,140837,-0.23167872392564445
Nevada              ,2017,100998,-0.23939375445669833
Orange              ,2017,3185541,0.3579441159554233
Placer              ,2017,386586,-0.18408814589969102
Plumas              ,2017,19365,-0.25520241148477435
Riverside           ,2017,2355286,0.1971608966587508
Sacramento,2017,1530548,0.03744607324148855
San Benito  ,2017,60499,-0.2472365974366213
San Bernardino    ,2017,2142339,0.155922597341591
San Diego           ,2017,3279856,0.37620870855404137
San Francisco,2017,867378,-0.0909802626926212
San Joaquin,2017,747119,-0.11426904646314777
San Luis Obispo     ,2017,282284,-0.20428677323596908
San Mateo           ,2017,765207,-0.11076621074323255
Santa Barbara       ,2017,445716,-0.17263731241237418
Santa Clara         ,2017,1930897,0.11497574913889781
Santa Cruz          ,2017,275410,-0.20561795925646317
Shasta              ,2017,180810,-0.22393774359436563
Sierra              ,2017,3236,-0.2583258766178191
Siskiyou            ,2017,44377,-0.2503587069830871
Solano              ,2017,444713,-0.17283154860361008
Sonoma              ,2017,502454,-0.16164970222459502
Stanislaus          ,2017,545273,-0.15335757912137465
State Total,2017,39273915,7.346646322991013
Sutter              ,2017,97649,-0.24004230580709618
Tehama              ,2017,64304,-0.24649973930336844
Trinity             ,2017,15381,-0.2559739339034023
Tulare              ,2017,463514,-0.16919063670787113
Tuolumne            ,2017,55133,-0.24827575137697208
Ventura             ,2017,850424,-0.09426349338675226
Yolo                ,2017,214387,-0.21743538208576363
Yuba                ,2017,77751,-0.2438956574852736
Alameda             ,2018,1666247,0.06372489369464952
Amador              ,2018,39708,-0.2512628832312231
Butte               ,2018,231774,-0.21406829867896543
Calaveras           ,2018,45367,-0.25016698830978346
Colusa              ,2018,21808,-0.2547293117687332
Contra Costa        ,2018,1155105,-0.035260425608142715
Del Norte,2018,27269,-0.2536717605819543
El Dorado           ,2018,185303,-0.22306765066592807
Fresno              ,2018,992091,-0.06682893854745385
Glenn               ,2018,27854,-0.2535584722750021
Humboldt            ,2018,137893,-0.2322488449096908
Imperial            ,2018,181374,-0.22382852204715023
Inyo                ,2018,18906,-0.25529129923330607
Kern                ,2018,891340,-0.0863398961777711
Kings               ,2018,150058,-0.22989302909076287
Lake                ,2018,67890,-0.24580529166451306
Lassen              ,2018,32721,-0.2526159522922054
Los Angeles ,2018,10107841,1.698483683844031
Madera              ,2018,155100,-0.22891661944349326
Marin               ,2018,264099,-0.20780839351276353
Mariposa            ,2018,17398,-0.25558333131344935
Mendocino           ,2018,91667,-0.24120075136639144
Merced              ,2018,274768,-0.2057422859112722
Modoc               ,2018,8943,-0.25722068624555255
Mono                ,2018,13319,-0.25637325097850544
Monterey            ,2018,438000,-0.17413155613278913
Napa                ,2018,139786,-0.2318822555677072
Nevada              ,2018,101640,-0.2392694278018893
Orange              ,2018,3192479,0.35928769591035314
Placer              ,2018,392693,-0.18290549343720086
Plumas              ,2018,19388,-0.2551979574145865
Riverside           ,2018,2375547,0.20108454518380622
Sacramento,2018,1547095,0.04065048625881701
San Benito  ,2018,61143,-0.24711188347136115
San Bernardino    ,2018,2153258,0.15803711874947216
San Diego           ,2018,3294139,0.37897468614070373
San Francisco,2018,872724,-0.0899449818567816
San Joaquin,2018,755573,-0.1126318851862701
San Luis Obispo     ,2018,282754,-0.20419575527995623
San Mateo           ,2018,766114,-0.11059056545365033
Santa Barbara       ,2018,447377,-0.17231565108272032
Santa Clara         ,2018,1936569,0.11607416157826973
Santa Cruz          ,2018,274274,-0.20583795159269844
Shasta              ,2018,181792,-0.22374757416286647
Sierra              ,2018,3243,-0.25832452103124015
Siskiyou            ,2018,44315,-0.25037071360707175
Solano              ,2018,447744,-0.17224457961494008
Sonoma              ,2018,499410,-0.16223918873119728
Stanislaus          ,2018,548363,-0.15275918447439665
State Total,2018,39429439,7.3767643582908855
Sutter              ,2018,99498,-0.23968423729503716
Tehama              ,2018,64789,-0.24640581651897223
Trinity             ,2018,15642,-0.25592338988953134
Tulare              ,2018,466766,-0.16856086991435254
Tuolumne            ,2018,55213,-0.24826025895892734
Ventura             ,2018,850604,-0.0942286354461516
Yolo                ,2018,215708,-0.21717956353279988
Yuba                ,2018,78751,-0.24370200225971436
Alameda             ,2019,1675964,0.06560664152140848
Amador              ,2019,40227,-0.2511623761691579
Butte               ,2019,227263,-0.21494187740146306
Calaveras           ,2019,45324,-0.2501753154844825
Colusa              ,2019,21745,-0.25474151204794343
Contra Costa        ,2019,1161077,-0.03410391660110304
Del Norte,2019,27567,-0.25361405132473763
El Dorado           ,2019,186714,-0.222794403142664
Fresno              ,2019,1000679,-0.06516582747035125
Glenn               ,2019,27959,-0.2535381384763184
Humboldt            ,2019,137059,-0.2324103533678072
Imperial            ,2019,181025,-0.2238961077208704
Inyo                ,2019,18938,-0.25528510226608814
Kern                ,2019,898617,-0.08493066710137664
Kings               ,2019,151918,-0.2295328303712227
Lake                ,2019,67902,-0.24580296780180635
Lassen              ,2019,32726,-0.25261498401607757
Los Angeles ,2019,10067476,1.690666790664333
Madera              ,2019,155604,-0.2288190172098114
Marin               ,2019,263645,-0.20789631298516742
Mariposa            ,2019,17242,-0.2556135415286366
Mendocino           ,2019,91733,-0.24118797012150453
Merced              ,2019,277693,-0.20517584437651146
Modoc               ,2019,8880,-0.25723288652476284
Mono                ,2019,13305,-0.25637596215166325
Monterey            ,2019,439477,-0.17384552736463818
Napa                ,2019,138982,-0.2320379543690568
Nevada              ,2019,101719,-0.23925412903907012
Orange              ,2019,3192408,0.35927394638933846
Placer              ,2019,399659,-0.18155649113595532
Plumas              ,2019,19655,-0.2551462514693622
Riverside           ,2019,2394094,0.2046762686522531
Sacramento,2019,1562887,0.04370868958084825
San Benito  ,2019,62734,-0.24680377800749642
San Bernardino    ,2019,2169538,0.1611898258215763
San Diego           ,2019,3302865,0.38066452163893355
