Data Year,County,Fuel Category,Number of Vehicles
2015,Tuolumne,Fossil Fuel,45045
2015,Ventura,EV,3303
2015,Ventura,Fossil Fuel,566173
2015,Yolo,EV,697
2015,Yolo,Fossil Fuel,119085
2015,Yuba,EV,44
2015,Yuba,Fossil Fuel,43345
2016,Alameda,EV,18141
2016,Alameda,Fossil Fuel,997320
2016,Alpine,EV,4
2016,Alpine,Fossil Fuel,1699
2016,Amador,EV,58
2016,Amador,Fossil Fuel,33884
2016,Butte,EV,245
2016,Butte,Fossil Fuel,144796
2016,Calaveras,EV,75
2016,Calaveras,Fossil Fuel,44215
2016,Colusa,EV,8
2016,Colusa,Fossil Fuel,16305
2016,Contra Costa,EV,9293
2016,Contra Costa,Fossil Fuel,756822
2016,Del Norte,EV,36
2016,Del Norte,Fossil Fuel,16389
2016,El Dorado,EV,927
2016,El Dorado,Fossil Fuel,142202
2016,Fresno,EV,2054
2016,Fresno,Fossil Fuel,554754
2016,Glenn,EV,19
2016,Glenn,Fossil Fuel,20701
2016,Humboldt,EV,673
2016,Humboldt,Fossil Fuel,97681
2016,Imperial,EV,62
2016,Imperial,Fossil Fuel,131459
2016,Inyo,EV,15
2016,Inyo,Fossil Fuel,15941
2016,Kern,EV,987
2016,Kern,Fossil Fuel,497026
2016,Kings,EV,93
2016,Kings,Fossil Fuel,76498
2016,Lake,EV,115
2016,Lake,Fossil Fuel,54241
2016,Lassen,EV,6
2016,Lassen,Fossil Fuel,19526
2016,Los Angeles,EV,60589
2016,Los Angeles,Fossil Fuel,6154945
2016,Madera,EV,192
2016,Madera,Fossil Fuel,89419
2016,Marin,EV,3858
2016,Marin,Fossil Fuel,183934
2016,Mariposa,EV,22
2016,Mariposa,Fossil Fuel,16555
2016,Mendocino,EV,440
2016,Mendocino,Fossil Fuel,73250
2016,Merced,EV,226
2016,Merced,Fossil Fuel,155608
2016,Modoc,EV,2
2016,Modoc,Fossil Fuel,6775
2016,Mono,EV,15
2016,Mono,Fossil Fuel,10289
2016,Monterey,EV,1093
2016,Monterey,Fossil Fuel,276640
2016,Napa,EV,888
2016,Napa,Fossil Fuel,100108
2016,Nevada,EV,324
2016,Nevada,Fossil Fuel,79306
2016,Orange,EV,26956
2016,Orange,Fossil Fuel,2090818
2016,Out Of State,EV,1174
2016,Out Of State,Fossil Fuel,413288
2016,Placer,EV,1829
2016,Placer,Fossil Fuel,272468
2016,Plumas,EV,11
2016,Plumas,Fossil Fuel,17894
2016,Riverside,EV,6329
2016,Riverside,Fossil Fuel,1426424
2016,Sacramento,EV,4569
2016,Sacramento,Fossil Fuel,924973
2016,San Benito,EV,209
2016,San Benito,Fossil Fuel,41896
2016,San Bernardino,EV,4911
2016,San Bernardino,Fossil Fuel,1291619
2016,San Diego,EV,16914
2016,San Diego,Fossil Fuel,2165631
2016,San Francisco,EV,5558
2016,San Francisco,Fossil Fuel,382460
2016,San Joaquin,EV,1439
2016,San Joaquin,Fossil Fuel,444390
2016,San Luis Obispo,EV,1061
2016,San Luis Obispo,Fossil Fuel,197388
2016,San Mateo,EV,9419
2016,San Mateo,Fossil Fuel,567082
2016,Santa Barbara,EV,1568
2016,Santa Barbara,Fossil Fuel,283308
2016,Santa Clara,EV,33659
2016,Santa Clara,Fossil Fuel,1261508
2016,Santa Cruz,EV,2275
2016,Santa Cruz,Fossil Fuel,185146
2016,Shasta,EV,191
2016,Shasta,Fossil Fuel,126316
2016,Sierra,EV,3
2016,Sierra,Fossil Fuel,3022
2016,Siskiyou,EV,35
2016,Siskiyou,Fossil Fuel,37724
2016,Solano,EV,1645
2016,Solano,Fossil Fuel,292578
2016,Sonoma,EV,4089
2016,Sonoma,Fossil Fuel,359813
2016,Stanislaus,EV,810
2016,Stanislaus,Fossil Fuel,333680
2016,Sutter,EV,70
2016,Sutter,Fossil Fuel,63565
2016,Tehama,EV,33
2016,Tehama,Fossil Fuel,42937
2016,Trinity,EV,18
