County,Data Year,Total Population,Total Population Z Score,Number of Gas Cars,Number of EV,Population_y,Z Score_y
Madera,2014,152067,-0.2295039757426143,84033,85,152067,-0.2295039757426143
Marin,2014,261931,-0.2082282380417759,180602,1866,261931,-0.2082282380417759
Mariposa,2014,17865,-0.2554928943231132,16172,11,17865,-0.2554928943231132
Mendocino,2014,89569,-0.2416070400296147,69253,130,89569,-0.2416070400296147
Merced,2014,264670,-0.2076978163789692,143703,91,264670,-0.2076978163789692
Modoc,2014,9312,-0.2571492274673212,6562,0,9312,-0.2571492274673212
Mono,2014,13712,-0.2562971444748606,9677,6,13712,-0.2562971444748606
Monterey,2014,427425,-0.1761794601430779,259198,509,427425,-0.1761794601430779
Napa,2014,140114,-0.2318187366537237,95647,423,140114,-0.2318187366537237
Nevada,2014,99490,-0.2396857865368416,76068,113,99490,-0.2396857865368416
Orange,2014,3125985,0.3464107853420182,1991231,12690,3125985,0.3464107853420182
Placer,2014,369910,-0.1873175404411166,258140,882,369910,-0.1873175404411166
Plumas,2014,19120,-0.2552498570150364,17236,6,19120,-0.2552498570150364
Riverside,2014,2280208,0.1826216496342154,1317751,2933,2280208,0.1826216496342154
Sacramento,2014,1476829,0.0270431081796726,863881,2229,1476829,0.0270431081796726
San Benito,2014,58212,-0.2476794869374752,38532,99,58212,-0.2476794869374752
San Bernardino,2014,2096526,0.1470506704930463,1201860,2295,2096526,0.1470506704930463
San Diego,2014,3219710,0.3645611213575563,2045488,8186,3219710,0.3645611213575563
San Francisco,2014,846661,-0.0949922180005316,373808,2618,846661,-0.0949922180005316
San Joaquin,2014,712387,-0.1209950797572707,409085,537,712387,-0.1209950797572707
San Luis Obispo,2014,278272,-0.2050637180009126,189554,476,278272,-0.2050637180009126
San Mateo,2014,751906,-0.1133420188983957,545796,4491,751906,-0.1133420188983957
Santa Barbara,2014,437066,-0.1743124301134614,268208,755,437066,-0.1743124301134614
Santa Clara,2014,1883691,0.1058340605611491,1204964,16156,1883691,0.1058340605611491
Santa Cruz,2014,271559,-0.2063637255300917,176901,1090,271559,-0.2063637255300917
Shasta,2014,180826,-0.2239346451107567,121875,97,180826,-0.2239346451107567
Sierra,2014,3218,-0.2583293624118791,2839,1,3218,-0.2583293624118791
Siskiyou,2014,44674,-0.2503011913810959,35444,20,44674,-0.2503011913810959
Solano,2014,428671,-0.1759381657320311,274494,767,428671,-0.1759381657320311
Sonoma,2014,496615,-0.1627804550866353,343411,1821,496615,-0.1627804550866353
Stanislaus,2014,528123,-0.1566787662397153,307763,238,528123,-0.1566787662397153
Sutter,2014,95103,-0.2405353520113699,59875,34,95103,-0.2405353520113699
Tehama,2014,63067,-0.2467392908173852,41992,22,63067,-0.2467392908173852
Trinity,2014,14692,-0.2561073623538126,10958,5,14692,-0.2561073623538126
Tulare,2014,455774,-0.1706895281536995,244945,126,455774,-0.1706895281536995
Tuolumne,2014,55315,-0.2482405061259203,44410,26,55315,-0.2482405061259203
Ventura,2014,846456,-0.0950319173217712,557822,2243,846456,-0.0950319173217712
Yolo,2014,206708,-0.2189224605628329,117003,498,206708,-0.2189224605628329
Yuba,2014,74755,-0.244475848541049,42531,31,74755,-0.244475848541049
Alameda,2015,1622205,0.0551959302505702,962566,13197,1622205,0.0551959302505702
Amador,2015,37453,-0.2516995757648591,32765,44,37453,-0.2516995757648591
Butte,2015,227400,-0.2149153466355614,139988,178,227400,-0.2149153466355614
Calaveras,2015,45395,-0.2501615659634678,42461,53,45395,-0.2501615659634678
Colusa,2015,21338,-0.254820329724746,15531,6,21338,-0.254820329724746
Contra Costa,2015,1120530,-0.0419560550318528,730630,6769,1120530,-0.0419560550318528
Del Norte,2015,26973,-0.2537290825287198,16035,26,26973,-0.2537290825287198
El Dorado,2015,180914,-0.2239176034509075,137350,679,180914,-0.2239176034509075
Fresno,2015,968417,-0.0714135323573429,530921,1306,968417,-0.0714135323573429
Glenn,2015,27966,-0.2535367828897394,19773,11,27966,-0.2535367828897394
Humboldt,2015,136542,-0.2325104731194213,94136,455,136542,-0.2325104731194213
Imperial,2015,179769,-0.2241393386841728,122830,42,179769,-0.2241393386841728
Inyo,2015,18765,-0.2553186046201099,15536,12,18765,-0.2553186046201099
Kern,2015,873453,-0.0898038071973489,481923,684,873453,-0.0898038071973489
Kings,2015,148817,-0.2301333552256818,74305,45,148817,-0.2301333552256818
Lake,2015,66975,-0.2459824861958997,51696,90,66975,-0.2459824861958997
Lassen,2015,32758,-0.2526087870488597,19393,6,32758,-0.2526087870488597
Los Angeles,2015,10072887,1.6917146590898338,5919211,42952,10072887,1.6917146590898338
Madera,2015,152930,-0.2293368512829567,86283,138,152930,-0.2293368512829567
Marin,2015,263888,-0.2078492547653565,179826,2826,263888,-0.2078492547653565
Mariposa,2015,17724,-0.2555201997099171,16249,13,17724,-0.2555201997099171
Mendocino,2015,90018,-0.2415200888333386,69993,294,90018,-0.2415200888333386
Merced,2015,266740,-0.2072969500620616,147554,153,266740,-0.2072969500620616
Modoc,2015,9212,-0.2571685929898771,6621,1,9212,-0.2571685929898771
Mono,2015,13674,-0.2563045033734319,9766,8,13674,-0.2563045033734319
Monterey,2015,429887,-0.1757026809777511,265100,794,429887,-0.1757026809777511
Napa,2015,140654,-0.2317141628319217,97255,627,140654,-0.2317141628319217
Nevada,2015,100341,-0.2395209859398907,76456,204,100341,-0.2395209859398907
Orange,2015,3148491,0.350769189848454,2015540,19338,3148491,0.350769189848454
Placer,2015,373578,-0.1866072130737654,261815,1356,373578,-0.1866072130737654
Plumas,2015,19035,-0.2552663177092089,17197,6,19035,-0.2552663177092089
Riverside,2015,2302000,0.186841784309602,1359641,4510,2302000,0.186841784309602
Sacramento,2015,1495130,0.0305871924626319,886961,3358,1495130,0.0305871924626319
San Benito,2015,58839,-0.2475580651110496,39647,143,58839,-0.2475580651110496
San Bernardino,2015,2114182,0.1504698471555199,1236579,3506,2114182,0.1504698471555199
San Diego,2015,3248180,0.3700744856292274,2083973,12054,3248180,0.3700744856292274
San Francisco,2015,855489,-0.0932826296692948,374022,4045,855489,-0.0932826296692948
San Joaquin,2015,724185,-0.1187103354061229,422665,867,724185,-0.1187103354061229
San Luis Obispo,2015,279620,-0.2048026707568588,191906,766,279620,-0.2048026707568588
San Mateo,2015,758673,-0.1120315539870365,555410,6854,758673,-0.1120315539870365
Santa Barbara,2015,440902,-0.1735695686682162,272577,1069,440902,-0.1735695686682162
Santa Clara,2015,1907380,0.1104215591994215,1222380,24812,1907380,0.1104215591994215
Santa Cruz,2015,274207,-0.2058509264928109,178558,1702,274207,-0.2058509264928109
Shasta,2015,181253,-0.2238519543294429,122772,144,181253,-0.2238519543294429
Sierra,2015,3214,-0.2583301370327813,2912,2,3214,-0.2583301370327813
Siskiyou,2015,44550,-0.2503252046290653,35994,28,44550,-0.2503252046290653
Solano,2015,433545,-0.1749942901626554,282424,1242,433545,-0.1749942901626554
Sonoma,2015,499963,-0.162132097391463,347000,2946,499963,-0.162132097391463
Stanislaus,2015,532534,-0.1558245530397735,316995,464,532534,-0.1558245530397735
Sutter,2015,95421,-0.2404737696496421,61151,48,95421,-0.2404737696496421
Tehama,2015,63405,-0.2466738353511462,41890,27,63405,-0.2466738353511462
Trinity,2015,14906,-0.2560659201355429,11050,10,14906,-0.2560659201355429
Tulare,2015,458186,-0.1702224317496506,251351,201,458186,-0.1702224317496506
Tuolumne,2015,54956,-0.248310028351896,45045,42,54956,-0.248310028351896
Ventura,2015,849950,-0.0943552859636673,566173,3303,849950,-0.0943552859636673
Yolo,2015,208343,-0.2186058342690435,119085,697,208343,-0.2186058342690435
Yuba,2015,75374,-0.2443559759564278,43345,44,75374,-0.2443559759564278
Alameda,2016,1641983,0.0590260433016805,997320,18141,1641983,0.0590260433016805
Amador,2016,37663,-0.2516589081674917,33884,58,37663,-0.2516589081674917
Butte,2016,228198,-0.2147608097655652,144796,245,228198,-0.2147608097655652
Calaveras,2016,45402,-0.2501602103768889,44215,75,45402,-0.2501602103768889
Colusa,2016,21531,-0.254782954266213,16305,8,21531,-0.254782954266213
Contra Costa,2016,1136478,-0.0388676414946343,756822,9293,1136478,-0.0388676414946343
Del Norte,2016,26960,-0.2537316000466521,16389,36,26960,-0.2537316000466521
