County,Data Year,Population,Z Score,Number of Gas Cars,Number of EV
Tulare,2014,455774,-0.1706895281536995,244945,126
Tuolumne,2014,55315,-0.2482405061259203,44410,26
Ventura,2014,846456,-0.0950319173217712,557822,2243
Yolo,2014,206708,-0.2189224605628329,117003,498
Yuba,2014,74755,-0.244475848541049,42531,31
Alameda,2015,1622205,0.0551959302505702,962566,13197
Amador,2015,37453,-0.2516995757648591,32765,44
Butte,2015,227400,-0.2149153466355614,139988,178
Calaveras,2015,45395,-0.2501615659634678,42461,53
Colusa,2015,21338,-0.254820329724746,15531,6
Contra Costa,2015,1120530,-0.0419560550318528,730630,6769
Del Norte,2015,26973,-0.2537290825287198,16035,26
El Dorado,2015,180914,-0.2239176034509075,137350,679
Fresno,2015,968417,-0.0714135323573429,530921,1306
Glenn,2015,27966,-0.2535367828897394,19773,11
Humboldt,2015,136542,-0.2325104731194213,94136,455
Imperial,2015,179769,-0.2241393386841728,122830,42
Inyo,2015,18765,-0.2553186046201099,15536,12
Kern,2015,873453,-0.0898038071973489,481923,684
Kings,2015,148817,-0.2301333552256818,74305,45
Lake,2015,66975,-0.2459824861958997,51696,90
Lassen,2015,32758,-0.2526087870488597,19393,6
Los Angeles,2015,10072887,1.6917146590898338,5919211,42952
Madera,2015,152930,-0.2293368512829567,86283,138
Marin,2015,263888,-0.2078492547653565,179826,2826
Mariposa,2015,17724,-0.2555201997099171,16249,13
Mendocino,2015,90018,-0.2415200888333386,69993,294
Merced,2015,266740,-0.2072969500620616,147554,153
Modoc,2015,9212,-0.2571685929898771,6621,1
Mono,2015,13674,-0.2563045033734319,9766,8
Monterey,2015,429887,-0.1757026809777511,265100,794
Napa,2015,140654,-0.2317141628319217,97255,627
Nevada,2015,100341,-0.2395209859398907,76456,204
Orange,2015,3148491,0.350769189848454,2015540,19338
Placer,2015,373578,-0.1866072130737654,261815,1356
Plumas,2015,19035,-0.2552663177092089,17197,6
Riverside,2015,2302000,0.186841784309602,1359641,4510
Sacramento,2015,1495130,0.0305871924626319,886961,3358
San Benito,2015,58839,-0.2475580651110496,39647,143
San Bernardino,2015,2114182,0.1504698471555199,1236579,3506
San Diego,2015,3248180,0.3700744856292274,2083973,12054
San Francisco,2015,855489,-0.0932826296692948,374022,4045
San Joaquin,2015,724185,-0.1187103354061229,422665,867
San Luis Obispo,2015,279620,-0.2048026707568588,191906,766
San Mateo,2015,758673,-0.1120315539870365,555410,6854
Santa Barbara,2015,440902,-0.1735695686682162,272577,1069
Santa Clara,2015,1907380,0.1104215591994215,1222380,24812
Santa Cruz,2015,274207,-0.2058509264928109,178558,1702
Shasta,2015,181253,-0.2238519543294429,122772,144
Sierra,2015,3214,-0.2583301370327813,2912,2
Siskiyou,2015,44550,-0.2503252046290653,35994,28
Solano,2015,433545,-0.1749942901626554,282424,1242
Sonoma,2015,499963,-0.162132097391463,347000,2946
Stanislaus,2015,532534,-0.1558245530397735,316995,464
Sutter,2015,95421,-0.2404737696496421,61151,48
Tehama,2015,63405,-0.2466738353511462,41890,27
