County,Data Year,Total Population,Total Population Z Score,"Population Estimate, >18","Population Margin of Error, >18",Number of Gas Cars,Number of EV
Fresno,2016,975622,-0.0700182464571887,689764.7540000001,*****,554754,2054
Humboldt,2016,137015,-0.2324188741977318,110023.045,±0.3,97681,673
Imperial,2016,179897,-0.2241145508153012,128626.355,±0.2,131459,62
Kern,2016,876846,-0.0891467350170264,614669.046,±0.1,497026,987
Kings,2016,148487,-0.2301972614501164,107653.075,±0.1,76498,93
Lake,2016,66991,-0.2459793877122908,53391.827000000005,±0.9,54241,115
Los Angeles,2016,10087542,1.6945526764204042,7696794.546,*****,6154945,60589
Madera,2016,152819,-0.2293583470129938,109265.58499999999,±0.3,89419,192
Marin,2016,264554,-0.2077202803851341,210320.43000000002,±0.1,183934,3858
Mendocino,2016,90761,-0.2413762030007481,70884.34099999999,±0.3,73250,440
Merced,2016,268527,-0.2069508881739873,185820.684,±0.1,155608,226
Monterey,2016,434712,-0.1747682945144278,318643.896,±0.1,276640,1093
Napa,2016,141119,-0.2316241131520367,109084.98700000001,±0.2,100108,888
Nevada,2016,100793,-0.2394334537779379,82650.26,±0.4,79306,324
Orange,2016,3165028,0.3539716663135269,2411751.336,*****,2090818,26956
Placer,2016,379143,-0.1855295217435283,289665.252,±0.1,272468,1829
Riverside,2016,2326213,0.1915307582860675,1688830.638,*****,1426424,6329
Sacramento,2016,1511942,0.0338429241147336,1135468.4419999998,*****,924973,4569
San Bernardino,2016,2124990,0.152562872833364,1525742.8199999998,*****,1291619,4911
San Diego,2016,3263004,0.3729452306929173,2515776.084,*****,2165631,16914
San Francisco,2016,861977,-0.0920261945658665,746472.0819999999,±0.1,382460,5558
San Joaquin,2016,735670,-0.1164862051405753,524532.71,±0.1,444390,1439
San Luis Obispo,2016,281046,-0.2045265184052113,228490.398,±0.4,197388,1061
San Mateo,2016,763530,-0.1110909705564953,597080.4600000001,*****,567082,9419
Santa Barbara,2016,444102,-0.1729498719464267,343734.94800000003,*****,283308,1568
Santa Clara,2016,1923243,0.1134935120424675,1469357.652,*****,1261508,33659
Santa Cruz,2016,275625,-0.2055763233829679,218570.62499999997,±0.1,185146,2275
Shasta,2016,180374,-0.2240221772727094,140691.72,±0.3,126316,191
Solano,2016,438420,-0.1740502209380542,335391.3,±0.1,292578,1645
Sonoma,2016,501553,-0.1618241855828238,394722.211,±0.1,359813,4089
Stanislaus,2016,537785,-0.1548076694503621,387205.2,±0.1,333680,810
Sutter,2016,96065,-0.2403490556843819,70223.515,*****,63565,70
Tulare,2016,461170,-0.1696445645565819,313134.43,*****,263354,281
Ventura,2016,851155,-0.0941219314168684,639217.4049999999,±0.1,584235,4449
Yolo,2016,211938,-0.2179096437331581,166583.26799999998,±0.4,124121,933
Yuba,2016,76245,-0.2441873022549657,54591.42,±0.3,45695,68
Alameda,2017,1656919,0.061918477750633,1290739.901,*****,1111061,24927
Butte,2017,230412,-0.2143320570961771,183177.54,±0.1,162254,395
Contra Costa,2017,1147957,-0.03664467316044,871299.363,*****,848104,12972
El Dorado,2017,182695,-0.2235727034941865,143050.185,±0.2,161188,1322
Fresno,2017,983436,-0.0685050245246689,695289.2520000001,*****,628363,3198
Humboldt,2017,138027,-0.2322228951094658,110835.681,±0.3,108338,960
Imperial,2017,180854,-0.223929222764441,129310.61,±0.2,149855,109
Kern,2017,883531,-0.087852149834163,619355.2309999999,±0.1,558042,1493
Kings,2017,148079,-0.2302762727821445,107357.275,±0.1,86788,184
Lake,2017,67318,-0.2459160624535329,53652.446,±0.9,61025,203
Los Angeles,2017,10107312,1.69838124022971,7711879.056,*****,6848320,85094
Madera,2017,154151,-0.2291003982525489,110217.965,±0.3,101652,281
Marin,2017,264366,-0.2077566875675392,210170.97,±0.1,203780,5262
Mendocino,2017,91368,-0.2412586542788336,71358.408,±0.3,81333,601
Merced,2017,271094,-0.2064537752099767,187597.048,±0.1,177219,348
Monterey,2017,437800,-0.1741702871779009,320907.39999999997,±0.1,311513,1567
Napa,2017,140837,-0.2316787239256444,108867.001,±0.2,111695,1223
Nevada,2017,100998,-0.2393937544566983,82818.36,±0.4,89168,476
Orange,2017,3185541,0.3579441159554233,2427382.242,*****,2339967,38954
Placer,2017,386586,-0.184088145899691,295351.704,±0.1,308969,2648
Riverside,2017,2355286,0.1971608966587508,1709937.636,*****,1622197,9837
Sacramento,2017,1530548,0.0374460732414885,1149441.5479999997,*****,1046050,6966
San Bernardino,2017,2142339,0.155922597341591,1538199.402,*****,1463174,7462
San Diego,2017,3279856,0.3762087085540413,2528768.976,*****,2434586,23410
San Francisco,2017,867378,-0.0909802626926212,751149.348,±0.1,420275,7824
San Joaquin,2017,747119,-0.1142690464631477,532695.847,±0.1,507686,2332
San Luis Obispo,2017,282284,-0.204286773235969,229496.892,±0.4,220486,1648
San Mateo,2017,765207,-0.1107662107432325,598391.8740000001,*****,637236,12702
Santa Barbara,2017,445716,-0.1726373124123741,344984.184,*****,317555,2376
Santa Clara,2017,1930897,0.1149757491388978,1475205.308,*****,1402093,44448
Santa Cruz,2017,275410,-0.2056179592564631,218400.12999999998,±0.1,206951,3062
Shasta,2017,180810,-0.2239377435943656,141031.80000000002,±0.3,140389,296
Solano,2017,444713,-0.17283154860361,340205.445,±0.1,330279,2431
Sonoma,2017,502454,-0.161649702224595,395431.298,±0.1,400994,6263
Stanislaus,2017,545273,-0.1533575791213746,392596.56,±0.1,378035,1190
Sutter,2017,97649,-0.2400423058070961,71381.419,*****,71648,113
Tulare,2017,463514,-0.1691906367078711,314726.006,*****,299138,609
Ventura,2017,850424,-0.0942634933867522,638668.4239999999,±0.1,654094,6284
Yolo,2017,214387,-0.2174353820857636,168508.18199999997,±0.4,140187,1374
Yuba,2017,77751,-0.2438956574852736,55669.716,±0.3,51477,101
Alameda,2018,1666247,0.0637248936946495,1298006.413,*****,1111143,34732
Butte,2018,231774,-0.2140682986789654,184260.33000000002,±0.1,161666,588
Contra Costa,2018,1155105,-0.0352604256081427,876724.6950000001,*****,852483,18421
El Dorado,2018,185303,-0.223067650665928,145092.24899999998,±0.2,162960,1905
Fresno,2018,992091,-0.0668289385474538,701408.337,*****,641795,4154
Humboldt,2018,137893,-0.2322488449096908,110728.079,±0.3,107341,1170
Imperial,2018,181374,-0.2238285220471502,129682.40999999999,±0.2,152977,163
Kern,2018,891340,-0.0863398961777711,624829.34,±0.1,566986,2094
Kings,2018,150058,-0.2298930290907628,108792.05,±0.1,87961,273
Lake,2018,67890,-0.245805291664513,54108.33,±0.9,61418,265
Los Angeles,2018,10107841,1.698483683844031,7712282.683,*****,6835247,115035
Madera,2018,155100,-0.2289166194434932,110896.5,±0.3,103610,362
Marin,2018,264099,-0.2078083935127635,209958.70500000002,±0.1,202836,6991
Mendocino,2018,91667,-0.2412007513663914,71591.927,±0.3,81304,726
Merced,2018,274768,-0.2057422859112722,190139.456,±0.1,181566,568
Monterey,2018,438000,-0.1741315561327891,321054.0,±0.1,316496,2259
Napa,2018,139786,-0.2318822555677072,108054.57800000001,±0.2,112241,1650
Nevada,2018,101640,-0.2392694278018893,83344.79999999999,±0.4,89660,682
Orange,2018,3192479,0.3592876959103531,2432668.998,*****,2346791,54835
Placer,2018,392693,-0.1829054934372008,300017.452,±0.1,315501,3839
Riverside,2018,2375547,0.2010845451838062,1724647.122,*****,1651047,14204
Sacramento,2018,1547095,0.040650486258817,1161868.3449999997,*****,1059363,10450
San Bernardino,2018,2153258,0.1580371187494721,1546039.244,*****,1484400,10823
San Diego,2018,3294139,0.3789746861407037,2539781.1689999998,*****,2443263,33830
San Francisco,2018,872724,-0.0899449818567816,755778.9839999999,±0.1,414271,11278
San Joaquin,2018,755573,-0.1126318851862701,538723.549,±0.1,519661,3469
