Data Year,County,Population,Population Z Score,Adult Population,Average PM 2.5/County,Number of Site IDs/County,County Latitude,County Longitude,Number of Gas Cars,Number of EV
2013,Humboldt,135810,-0.37032843782497515,109463.0,7.838461538461539,3,40.74,-124.19,91760.0,54.0
2013,Imperial,177731,-0.3411903491926979,126722.0,8.049999999999999,3,32.78,-115.53,113063.0,15.0
2013,Kern,861948,0.13438932661920605,605949.0,14.193939393939395,6,35.2,-118.84,459264.0,189.0
2013,Kings,150004,-0.360462594213264,108453.0,21.645454545454545,2,36.26,-119.62,71228.0,11.0
2013,Lake,65928,-0.41890141818805804,52611.0,3.8666666666666667,1,39.03,-122.92,50061.0,24.0
2013,Los Angeles,9995638,6.482956125115048,7676650.0,11.652173913043478,12,34.09,-118.26,5690003.0,13869.0
2013,Madera,150652,-0.36001218793875445,108319.0,10.208571428571428,2,37.12,-119.81,82070.0,27.0
2013,Marin,258815,-0.2848311788804543,205499.0,10.42608695652174,2,38.0,-122.59,178103.0,946.0
2013,Mendocino,89320,-0.4026423077353916,70473.0,11.025,2,39.35,-123.32,67977.0,43.0
2013,Merced,263501,-0.28157407424719527,183397.0,17.013636363636365,2,37.29,-120.44,139433.0,39.0
2013,Monterey,425742,-0.16880499340968447,312495.0,6.6192982456140355,3,36.48,-121.53,251527.0,211.0
2013,Napa,138808,-0.3682446137339571,107993.0,10.88888888888889,1,38.31,-122.3,94323.0,210.0
2013,Nevada,99116,-0.3958333881904908,81176.0,7.145454545454545,2,39.3,-120.42,74537.0,52.0
2013,Orange,3105236,1.6936346826871411,2381716.0,13.03095238095238,2,33.81,-117.91,1945863.0,6114.0
2013,Placer,365195,-0.21088948214846667,280105.0,8.531578947368422,2,38.85,-121.18,251830.0,387.0
2013,Riverside,2260809,1.1066976160740367,1652651.0,12.533191489361704,11,33.86,-117.22,1276953.0,1299.0
2013,Sacramento,1461786,0.5513195718186982,1100725.0,12.804819277108432,4,38.6,-121.39,839193.0,1002.0
2013,San Bernardino,2085599,0.9849141541036329,1507888.0,9.007042253521126,8,34.15,-117.29,1167485.0,1003.0
2013,San Diego,3190323,1.7527762238587394,2469310.0,9.687421383647798,8,32.98,-117.0,2003012.0,4448.0
2013,San Francisco,839556,0.11882528757781985,727055.0,8.955555555555556,1,37.77,-122.4,368001.0,1313.0
2013,San Joaquin,705545,0.025678072680749085,506581.0,13.73235294117647,3,37.86,-121.3,395126.0,218.0
2013,San Luis Obispo,275482,-0.27324642366864715,225895.0,9.429166666666667,4,35.18,-120.62,185467.0,251.0
2013,San Mateo,745842,0.05368736534110727,583994.0,10.816666666666668,1,37.48,-122.2,529074.0,2441.0
2013,Santa Barbara,432485,-0.1641181268834221,334743.0,7.9925,3,34.64,-119.98,260928.0,414.0
